,cmpd_1,cmpd_2,cmpd_3,cmpd_4,cmpd_5,cmpd_6,cmpd_7,cmpd_8,cmpd_9,cmpd_10,cmpd_11,cmpd_12,cmpd_13,cmpd_14,cmpd_15,cmpd_16,cmpd_17,cmpd_18,cmpd_19,cmpd_20,cmpd_21,cmpd_22,cmpd_23,cmpd_24,cmpd_25,cmpd_26,cmpd_27,cmpd_28,cmpd_29,cmpd_30,cmpd_31,cmpd_32,cmpd_33,cmpd_34,cmpd_35,cmpd_36,cmpd_37,cmpd_38,cmpd_39,cmpd_40,cmpd_41
S_1,5.174,6.02,4.748,39.37,3.458,89.591,0.318,NA,0.298,8.198,0.193,0.07,0.309,NA,4.456,0.436,314.773,64.233,0.146,0.574,NA,0.833,231.716,191.016,18.616,83.793,0.673,1.764,2.615,2.96,13.623,0.61,5.442,51.379,364.91,20.49,18.316,1.317,19.519,1.978,5.952
S_2,39.718,0.944,1.419,34.127,4.326,67.739,1.534,NA,0.365,10.988,0.201,1.402,2.354,0.062,5.76,1.793,331.675,129.223,1.12,1.671,0.129,0.333,201.174,171.271,16.742,64.277,2.926,1.45,1.222,2.029,6.312,1.225,9.89,79.128,209.535,34.141,37.701,7.47,86.55,2.813,4.835
S_3,20.301,0.329,0.684,49.892,2.428,58.887,1.611,0.699,0.127,9.456,0.303,2.231,8.175,0.593,6.549,9.042,153.59,139.014,0.584,0.861,0.059,0.324,69.377,27.322,18.077,50.369,NA,1.61,0.561,0.439,0.673,0.403,4.131,83.212,171.39,51.544,21.034,6.446,112.794,3.835,12.319
S_4,20.837,0.541,0.765,35.853,2.44,17.473,0.263,1.047,NA,1.261,0.259,2.633,8.725,1.181,3.255,9.174,60.514,106.88,1.133,4.812,NA,0.415,112.557,48.72,23.533,26.465,0.753,1.504,0.53,0.336,0.597,0.379,6.5,31.306,108.458,27.742,7.181,1.94,100.889,5.067,14.813
S_5,45.223,0.72,0.653,9.704,0.799,19.411,0.032,0.171,0.085,2.187,0.744,4.366,4.467,0.335,1.554,2.784,39.351,129.151,3.018,2.557,0.431,0.316,47.3,33.529,27.452,13.994,1.145,1.803,0.244,0.739,1.506,0.196,0.812,5.171,159.035,53.354,10.547,7.823,143.802,0.914,3.327
S_6,62.464,0.258,0.327,44.7,2.04,37.057,1.8,0.724,0.194,6.179,NA,0.88,3.565,0.287,0.41,1.172,8.655,71.585,2.832,1.743,1.044,0.21,60.209,13.012,8.534,6.533,0.318,1.775,0.164,0.816,NA,0.239,0.466,2.039,220.046,124.045,19.321,18.797,134.378,0.731,2.298
S_7,13.494,2.612,1.139,55.735,2.232,182.772,0.502,0.14,0.11,15.805,0.218,4.027,14.195,0.296,3.686,6.625,50.221,383.257,19.567,6.84,1.275,0.351,162.698,40.668,52.9,38.4,NA,1.848,0.644,2.999,0.769,0.69,2.043,17.999,467.935,247.656,18.989,14.43,160.21,2.974,9.557
S_8,11.554,1.799,0.989,28.458,1.512,176.7,0.927,0.199,NA,11.424,0.22,5.793,8.632,0.204,2.15,3.241,22.511,186.676,5.452,1.743,0.005,0.691,201.906,20.223,37.056,28.33,NA,0.65,0.399,0.968,0.781,0.699,1.621,7.624,173.908,69.201,13.429,7.043,98.463,2.876,10.935
S_9,47.865,0.292,1.575,65.121,5.485,60.606,1.993,0.812,1.188,6.173,0.342,4.868,1.631,0.63,7.663,1.583,108.176,93.859,2.517,4.605,0.204,0.087,62.283,40.711,19.14,52.994,NA,2.041,0.977,0.466,0.653,0.36,3.874,25.771,271.643,57.826,28.56,5.924,129.484,0.944,2.497
S_10,13.312,0.232,0.46,15.75,1.459,10.616,0.002,NA,NA,1.505,0.287,1.979,0.897,0.68,1.96,0.418,59.023,52.92,1.23,2.048,NA,NA,62.329,15.88,5.977,11.016,0.34,1.266,0.753,0.172,0.466,0.453,2.549,19.491,68.809,23.233,6.869,2.497,64.278,0.605,3.321
S_11,1.298,5.851,6.133,252.956,9.987,316.321,11.606,NA,1.265,39.731,0.174,NA,NA,NA,7.386,NA,199.751,15.198,NA,0.042,NA,0.265,211.943,49.463,4.604,105.822,0.363,1.492,1.802,0.479,1.815,1.977,5.782,45.318,766.385,7.525,84.313,1.07,5.568,4.126,12.569
S_12,5.754,3.338,2.469,274.048,8.583,165.402,17.405,0.467,0.762,22.156,0.171,0.233,0.232,NA,1.715,0.206,45.447,17.672,0.088,0.151,NA,0.159,335.569,49.69,3.79,41.105,1.578,0.975,0.834,0.546,0.414,3.411,3.263,3.58,781.469,35.337,102.362,5.946,13.397,1.901,7.871
S_13,0.92,5.006,4.022,194.742,6.19,84.355,5.52,0.144,0.529,10.317,0.402,NA,0.184,NA,8.846,NA,300.015,NA,NA,0.015,NA,0.797,342.823,104.082,NA,147.109,0.153,2.077,1.581,1.216,6.554,2.961,5.675,39.312,577.057,NA,64.805,NA,2.794,1.219,4.41
S_14,0.687,7.835,5.241,105.538,1.426,24.812,2.586,NA,0.098,3.051,0.262,NA,NA,NA,5.552,NA,93.956,NA,NA,NA,NA,1.067,372.969,67.955,NA,95.63,0.203,1.521,1.351,1.346,3.754,3.911,5.02,17.141,237.88,NA,17.873,NA,1.943,1.647,4.533
S_15,1.634,1.803,1.237,30.915,2.073,29.323,1.319,NA,0.454,5.752,2.557,2.413,1.97,0.492,2.845,0.434,58.456,10.603,4.036,1.894,0.241,0.456,450.848,142.41,NA,35.014,0.61,0.416,2.183,0.985,1.78,1.897,1.942,10.197,89.661,2.887,11.186,0.973,8.887,1.05,3.256
S_16,0.793,1.646,1.656,34.936,0.86,41.562,1.871,NA,0.126,4.676,1.162,0.569,0.603,0.167,1.551,0.281,38.311,1.339,1.915,0.587,0.055,0.173,221.731,73.185,NA,23.524,0.206,0.428,1.18,0.489,1.743,0.985,1.776,12.556,119.517,NA,20.407,0.116,3.516,0.687,2.399
S_17,4.639,0.703,0.996,15.028,2.539,68.035,0.462,0.469,0.13,8.617,0.606,0.559,0.831,0.18,4.311,0.934,170.712,53.427,1.298,0.941,NA,0.353,80.348,187.133,NA,32.442,NA,0.792,1.174,1.242,4.547,0.277,2.641,20.361,145.208,15.97,23.137,2.987,23.13,11.069,36.744
S_18,29.584,0.254,0.381,29.131,0.926,25.176,0.769,0.331,0.16,6.46,0.597,3.056,3.155,0.233,1.076,2.8,19.282,55.477,4.613,2.943,0.486,0.202,46.547,23.598,17.695,8.72,0.97,1.564,0.389,0.031,0.739,0.128,1.717,7.69,207.89,32.425,18.332,4.117,99.052,6.626,23.525
S_19,2.247,1.355,1.062,35.494,2.2,236.575,2.02,0.176,0.303,51.759,0.388,0.128,1.351,NA,12.805,1.076,506.565,130.806,1.314,0.917,0.242,0.2,33.339,39.633,7.822,42.158,0.339,2.12,2.339,1.811,4.55,1.037,7.306,279.09,551.469,53.018,93.238,8.731,9.264,14.734,49.116
S_20,10.312,1.149,0.906,51.682,2.117,112.575,3.034,0.672,0.211,26.947,0.313,1.597,2.4,0.411,3.501,2.32,126.721,125.593,2.364,1.046,0.228,0.22,85.775,18.685,12.157,32.172,0.72,1.12,0.451,0.946,1.231,1.733,4.048,75.427,260.953,105.616,43.753,17.667,44.125,10.435,29.533
S_21,2.465,0.563,0.623,16.507,2.511,36.887,0.581,0.232,0.314,5.351,0.276,0.256,0.532,NA,0.886,0.557,55.083,34.074,0.512,0.172,0.083,0.017,21.425,25.906,6.014,15.858,0.203,0.881,0.285,0.199,0.741,0.064,2.67,8.815,178.557,16.02,25.397,2.47,6.615,3.739,10.467
S_22,16.122,0.609,0.462,25.255,5.391,39.374,0.856,1.066,1.239,5.903,0.292,2.593,1.878,0.274,1.05,1.664,38.032,88.687,1.194,0.784,0.356,0.298,55.324,64.297,32.58,16.67,0.777,1.19,0.213,0.817,2.36,0.154,2.998,5.595,228.82,53.788,29.397,9.642,30.307,2.104,6.779
S_23,13.876,0.436,0.391,8.748,0.002,7.56,NA,0.168,NA,1.229,0.243,1.3,1.583,0.144,1.243,1.073,53.766,66.909,0.429,0.628,0.046,0.158,62.643,57.661,27.15,17.775,0.604,1.105,NA,0.661,2.25,0.011,1.194,4.185,79.008,13.644,7.851,2.265,21.161,2.573,9.616
S_24,28.111,0.544,0.347,17.914,0.276,4.517,0.196,0.136,NA,0.943,NA,8.344,9.574,0.49,0.575,2.536,13.283,93.641,3.814,4.43,0.143,0.238,105.397,18.654,26.156,20.663,1.389,1.034,NA,0.343,0.463,0.266,1.761,2.931,39.157,22.966,5.231,3.536,151.119,2.757,10.715
S_25,6.556,1.355,0.624,109.368,5.348,171.778,2.167,1.448,0.317,9.154,0.271,1.821,1.7,0.391,3.576,1.597,72.615,125.298,0.975,1.196,0.081,0.442,153.716,24.885,17.719,39.553,0.834,0.745,0.644,1.46,1.015,1.79,3.341,35.805,637.192,151.805,38.842,9.87,44.79,1.349,4.221
S_26,23.768,0.747,0.516,26.574,3.084,38.849,0.148,1.395,0.132,2.165,0.281,3.755,1.936,0.558,1.674,1.253,101.525,142.283,0.781,5.298,0.049,0.221,75.046,17.34,22.179,26.364,1.696,0.698,1.043,0.949,1.6,2.083,8.725,99.959,202.592,52,9.898,4.518,89.169,0.921,3.193
S_27,1.217,0.338,0.571,43.032,5.363,114.289,1.652,0.501,0.651,13.696,NA,0.179,0.282,0.053,6.411,0.538,529.31,61.619,0.077,0.091,NA,0.292,42.058,49.197,6.384,55.808,0.184,0.624,0.798,1.088,2.066,0.81,4.907,274.201,447.99,14.635,48.403,2.214,5,0.489,2.948
S_28,33.759,0.364,0.391,91.458,18.366,183.816,3.666,3.933,2.129,27.982,0.391,6.677,5.421,0.19,3.674,4.191,45.088,155.907,2.544,0.684,0.654,1.056,121.298,32.704,26.447,26.494,NA,0.964,0.383,2.026,1.043,0.984,2.541,13.741,585.296,184.318,79.569,29.592,93.908,0.858,2.05
S_29,1.3,6.124,4.91,198.638,5.868,398.288,18.18,0.286,1.489,119.941,0.279,NA,0.082,NA,5.556,0.23,705.262,11.469,0.121,0.285,NA,0.563,158.357,49.01,NA,137.6,0.092,3.016,1.394,1.385,5.361,0.999,8.872,139.511,710.813,12.143,193.474,1.997,2.621,1.994,5.585
S_30,10.524,1.887,2.151,252.906,3.787,299.865,23.928,0.462,0.601,62.472,0.267,2.824,4.203,0.33,6.36,2.331,141.179,100.992,1.057,2.831,0.115,0.563,226.767,50.233,28.029,106.985,0.63,1.783,1.337,1.609,3.052,1.759,6.344,33.005,639.664,93.228,164.417,15.657,42.335,2.241,5.004
S_31,3.884,0.463,2.278,21.386,2.103,137.837,2.677,2.766,1.089,158.059,0.218,NA,0.332,0.161,12.838,0.902,610.853,232.315,0.136,2.412,NA,0.125,37.374,46.004,6.547,85.897,0.732,0.677,9.106,2.2,5.795,2.408,18.85,897.304,372.799,69.022,153.888,26.172,6.481,1.201,7.78
