,Cmpd_2,Cmpd_3,Cmpd_4,Cmpd_5,Cmpd_7,Cmpd_10,Cmpd_11,Cmpd_12,Cmpd_13,Cmpd_14,Cmpd_15,Cmpd_16,Cmpd_17,Cmpd_18,Cmpd_19,Cmpd_20,Cmpd_21,Cmpd_22,Cmpd_23,Cmpd_24,Cmpd_25,Cmpd_27,Cmpd_28,Cmpd_29,Cmpd_30,Cmpd_31,Cmpd_32,Cmpd_34,Cmpd_35,Cmpd_36,Cmpd_38,Cmpd_40,Cmpd_41,Cmpd_42,Cmpd_43,Cmpd_44,Cmpd_45,Cmpd_47,Cmpd_48,Cmpd_49,Cmpd_50,Cmpd_52,Cmpd_54,Cmpd_55,Cmpd_56,Cmpd_59,Cmpd_60,Cmpd_61,Cmpd_68,Cmpd_73,Cmpd_75,Cmpd_76,Cmpd_77,Cmpd_78,Cmpd_80,Cmpd_82,Cmpd_83,Cmpd_86,Cmpd_87,Cmpd_89,Cmpd_92,Cmpd_94,Cmpd_95,Cmpd_99,Cmpd_101,Cmpd_105,Cmpd_106,Cmpd_107,Cmpd_109,Cmpd_111,Cmpd_119,Cmpd_120,Cmpd_123,Cmpd_127,Cmpd_130,Cmpd_131,Cmpd_139,Cmpd_141,Cmpd_142,Cmpd_144,Cmpd_146,Cmpd_147,Cmpd_148,Cmpd_150,Cmpd_151,Cmpd_152,Cmpd_153,Cmpd_155,Cmpd_162,Cmpd_169,Cmpd_171,Cmpd_174,Cmpd_180,Cmpd_182,Cmpd_184,Cmpd_188,Cmpd_190,Cmpd_194,Cmpd_196,Cmpd_199,Cmpd_201,Cmpd_202,Cmpd_212,Cmpd_213,Cmpd_222,Cmpd_224,Cmpd_226,Cmpd_230,Cmpd_232,Cmpd_257,Cmpd_267,Cmpd_277
S_1,451606,23576680,8395928,4290993,725363,316024,1038629,7719123,8339645,5040907,29615649,3686649,33991849,1199947,15648443,1893128,4407705,491505,259439,4329582,619205,177025,1702299,182758,15296471,14299882,13017735,2361907,69259,13572115,509285,1667983,400695,7473245,9835878,2114413,1266700,95655,972647,1555681,3738592,1472105,1776117,3954130,206310,12510042,6107514,955395,258666,4558188,1669161,15535400,272104,322794,32142372,103054,136406,97544,382404,727184,4836657,2011636,261298,532418,84099,230681,40180,1159157,20434371,1051193,295103,281821,202733,327194,11684817,2831927,3397090,1148256,2544637,253731,28971,1140014,144461,2268582,36451,9638669,12556523,76282,1490416,3339322,5484977,93680,1423651,29413,34144,17882921,408681,142748,16663357,233709,1588952,749310,418785,317019,854099,433537,23349428,7736207,95295,2935180,39319,4942515
S_2,3030467,29024419,6718542,436017,2235837,1416281,5992464,44123341,51486642,2241881,43218555,1637867,34406555,918629,86777074,16924097,6330014,2292406,7572052,26112970,2407948,2620687,12244529,2819252,71422743,102628762,12245103,36008505,30957053,3355353,16236502,2868876,376373,11262530,2480824,1667124,10485254,110262,805098,800912,25852339,205882,1873810,49134958,175768,10156772,11581700,7309245,2307882,12259581,153059,54566776,691526,74041,4316627,2358329,220481,457773,709344,1787390,6689723,2517318,1149079,1295645,177687,1193926,135727,1842135,41433060,116818,1277154,873377,109272,351239,3666162,18989856,433572,1058780,411049,6190562,107700,1024917,46440,1516466,136968,38175346,85618322,1435551,1825090,157109,546185,231072,209182,210195,40310,1040945,NA,402098,37800237,376725,124257,NA,261730,563506,145049,628141,74430,1715926,NA,68908,519612,5952713
S_3,2008460,28655043,4775583,207973,1292487,1137059,4964721,35546422,50613619,1885775,88870295,2034694,25221665,954626,74527813,17694486,4871571,1991394,6875743,19773485,4447568,2311713,10660333,1983936,72340500,95462851,7925805,56065346,31039573,2611204,5448545,1405981,525829,6262414,1986688,1298779,9924737,96264,889843,773138,25096620,451640,1317071,45287363,199700,30977820,11195501,5069604,2046981,4536138,205763,60259718,352439,170181,8274227,179163,261492,242621,669164,1066022,7539830,1016305,526516,963023,173637,1189873,105792,1940839,41745924,103935,456464,528125,78503,249568,4854372,19466421,235620,848837,1851041,3273204,29501,1025526,37994,943221,64817,36067792,79367412,1734559,4852039,136040,677638,136088,NA,139254,32683,2044297,314170,NA,32840919,209805,115697,41888,732453,480796,103513,1048600,64802,2122727,NA,57356,107751,4894229
S_4,1918709,21549940,4814789,371737,1061385,935640,6270720,23490183,39963323,1371526,32303970,1002233,12096495,667123,80698618,15280855,2516722,1435204,5116201,11638969,968353,2198252,8879061,3221221,56256711,73103498,3385644,30677786,22608053,2301382,2972099,2482784,203061,20547170,1860724,2011601,8373404,76647,464813,1108803,19107019,101125,821361,24721705,107908,8757200,6536503,6756145,3978262,11399760,406368,49230113,1037774,87662,7351813,2388013,255332,175809,266644,1645440,6854064,436603,792432,1053326,407037,1662942,67685,3602555,27509635,108686,297880,395995,66383,154520,2512061,25619893,557922,364899,842389,3623783,125161,946030,34676,1007754,21055,23181439,55913698,1641391,NA,115769,95615,159616,150801,193982,24390,446815,466001,145780,23116900,19519,140315,42958,283177,434035,53340,451453,84772,2449488,37405,NA,309119,13906946
S_5,1773122,20226589,4317341,264041,945112,566402,6030522,8777954,33411431,1228318,24305370,2156949,7652535,675515,61539083,10633431,1321904,1431693,6199090,7110129,5074119,1908685,10140788,1173804,53296161,62063355,2922945,18126853,34060362,2040144,3046229,1964332,354792,9981359,1656897,1469191,9394494,58925,366508,1190808,15438286,335633,358242,18343367,212155,7833038,5508228,5074723,2717034,12754398,298207,43811568,582025,52786,6520973,828469,211000,116793,396525,1409582,6167218,1113893,501974,617037,313414,708330,84587,2527491,37985332,72286,450841,169641,96541,68015,15870685,21830789,861466,302357,1389328,3128587,62572,947354,41875,589805,39210,19483723,36956991,708667,5945629,90839,86654,145705,401381,126973,22276,2760530,289729,111375,29135927,162331,116930,58408,404051,533255,70494,182562,88325,1752119,48113,NA,NA,8934009
S_6,1762716,20139629,4221171,246977,1064454,592697,4635157,13791821,35434072,1374099,21370605,1736008,10198235,787336,58934247,11013897,1804989,1397109,6251924,7887020,7050774,1747305,8225283,1209845,54559961,60277112,4333220,22468036,13870148,1478633,2222788,6399241,379376,6537822,2578906,1053931,7877804,67006,615655,1306434,15445788,481989,1074252,18644319,229239,28989597,6694446,4857931,1722736,41392781,604293,43609221,572492,38372,21731151,70690,550214,81342,599550,1310541,6142709,321117,311131,697909,264346,813220,53171,2885327,8695654,140253,392544,244091,65832,178610,8916798,17076890,675126,220867,466346,3746500,175681,750042,40213,739048,20553,19234903,40106131,1682822,3083466,97739,415896,147462,624378,114838,16043,2226636,NA,362530,66270125,61538,240179,85287,251063,710354,85931,109679,90392,5547881,44484,62869,NA,2773331
S_7,2560132,18950335,5077924,250519,927611,990839,5024756,8291654,34772415,1124929,18006358,989378,6654046,865921,66919482,11755443,1134752,956960,4492617,10485749,2202956,3887810,7895011,2172953,49722768,65778589,2874185,32482687,35172139,3573774,2190650,1835363,440898,7477804,1695400,1794455,6846236,98670,1110497,1171412,16814033,188134,382439,21534202,111647,7402589,6212051,4864086,3526093,18507209,684422,41281975,650907,31678,5333324,6804317,254388,311873,304001,1658657,6825130,1138437,794173,1020653,273921,1126210,87122,2395785,16543340,144908,377238,189427,67532,77917,4356500,21557746,1412806,394181,480525,2016909,1050476,804737,52391,742136,101026,19318043,48142571,504175,974791,89942,322056,197587,205676,129676,31944,656911,546905,123219,31966776,355107,49251,25001,177678,746129,70182,1161693,181768,1656846,NA,NA,386430,2679834
S_8,2393069,22285464,3562682,355140,1340277,979095,6418320,20108758,38331279,1718934,39483338,2532491,16430643,785355,71215032,13564366,2600655,1490187,6834045,8362188,7445812,2356204,9756457,1824329,59874685,65127658,6114287,22047196,33340053,2354295,2859005,3192514,334321,11226977,2715265,1553880,7782372,71183,832301,805622,17838979,416578,1390876,18545391,308323,31862705,6522588,4601819,1870852,17709994,341411,45831154,511274,69100,14968863,216820,617228,191166,460892,1276118,6051660,2289532,203222,639830,286113,938875,34530,2482506,35477791,155828,260112,283041,87965,243277,18239365,18812721,138940,930924,2814454,2677684,104384,937704,68131,1394977,18224,21632152,45059412,1829496,7687649,155301,1146189,186499,28750,160681,12133,3116073,598120,131948,28592584,198562,139115,97990,966052,307113,125154,82700,104375,3700053,48210,66515,NA,9918138
S_9,1472087,17558611,3779994,349289,1563553,571459,3194285,6409859,31960147,1798772,20572744,1926483,10886894,506501,53156132,10469941,1163798,839582,2579063,5366192,3159488,2046736,5549810,945643,35739679,47648546,3436275,13014420,35421635,5728694,2317364,1483297,230124,11107955,5440645,1366375,4578311,68504,868857,1404305,13594687,279693,1098967,8724974,248532,25432803,4665871,3047025,836774,10703658,236007,39574753,745142,41701,99244243,85177,672643,167377,551886,1427418,4189644,3296781,518512,442974,197477,542314,58662,1752991,33357396,364669,130264,250619,248265,186691,15565766,6952155,812246,942678,1825860,1594414,65330,893594,104878,1556727,42796,14497781,32208375,449470,11899869,115473,2290511,188250,313137,98765,29630,2324922,632017,NA,11765577,68077,95281,77711,511747,310107,170558,63836,73376,25843508,NA,NA,NA,7690149
S_10,1919904,23390396,5993740,438346,1399495,770161,7358552,13356062,37479831,1602580,34708056,2742051,13015848,666096,74632557,12844322,1930717,1710264,7280150,11560373,3360242,3388480,12000369,1371567,73318589,71300496,2891967,30590438,42750849,3756127,4100320,962824,374065,12558824,2571056,1941539,7866791,94517,1004474,1255102,19530105,345748,426017,25681760,369447,23263570,7798575,4280331,1850863,3106641,120611,45684025,476297,95967,50125684,1214571,153450,483469,416473,1258528,6970054,6476467,572417,781472,273332,804709,105240,1551996,51093881,99181,344940,207091,NA,77613,8494905,26327238,640453,910492,1953145,2997104,26886,1108113,40806,1898018,38494,27082500,54084848,520178,5271783,96372,256894,164072,269245,113689,36232,3483900,493391,69162,16833314,78699,107679,79272,551091,359260,121299,230044,96663,12530503,NA,NA,62595,3504753
